internet,popularity,title,year
http://www.metrolyrics.com/chorus-and-the-ring-lyrics-rem.html,width:6%;,Chorus And The Ring Lyrics,2006
http://www.metrolyrics.com/christmas-griping-lyrics-rem.html,width:6%;,Christmas Griping Lyrics,2018
http://www.metrolyrics.com/circus-envy-lyrics-rem.html,width:6%;,Circus Envy Lyrics,2006
http://www.metrolyrics.com/country-feedback-lyrics-rem.html,width:31.870966422084%;,Country Feedback Lyrics,2011
http://www.metrolyrics.com/crazy-lyrics-rem.html,width:27.452156242272%;,Crazy Lyrics,2006
http://www.metrolyrics.com/crush-with-eyeliner-lyrics-rem.html,width:38.533972973918%;,Crush With Eyeliner Lyrics,2006
http://www.metrolyrics.com/cuyahoga-lyrics-rem.html,width:13.726078121136%;,Cuyahoga Lyrics,2014
http://www.metrolyrics.com/dangerous-times-lyrics-rem.html,width:6%;,Dangerous Times Lyrics,2006
http://www.metrolyrics.com/dark-globe-lyrics-rem.html,width:6%;,Dark Globe Lyrics,2006
http://www.metrolyrics.com/daysleeper-lyrics-rem.html,width:35.481397225105%;,Daysleeper Lyrics,2003
http://www.metrolyrics.com/deck-the-halls-lyrics-rem.html,width:6%;,Deck The Halls Lyrics,2016
http://www.metrolyrics.com/departure-lyrics-rem.html,width:6%;,Departure Lyrics,2006
http://www.metrolyrics.com/diminished-lyrics-rem.html,width:6%;,Diminished Lyrics,2006
http://www.metrolyrics.com/diminishedim-not-over-you-lyrics-rem.html,width:6%;,Diminished/I'm Not Over You Lyrics,2016
http://www.metrolyrics.com/disappear-lyrics-rem.html,width:13.726078121136%;,Disappear Lyrics,2014
http://www.metrolyrics.com/discover-lyrics-rem.html,width:6%;,Discover Lyrics,2010
http://www.metrolyrics.com/discoverer-lyrics-rem.html,width:6%;,Discoverer Lyrics,2011
http://www.metrolyrics.com/disguised-lyrics-rem.html,width:13.726078121136%;,Disguised Lyrics,2016
http://www.metrolyrics.com/disturbance-at-the-heron-house-lyrics-rem.html,width:13.726078121136%;,Disturbance At The Heron House Lyrics,2008
http://www.metrolyrics.com/dont-go-back-to-rockville-lyrics-rem.html,width:6%;,Don't Go Back To Rockville Lyrics,2011
http://www.metrolyrics.com/draggin-the-line-lyrics-rem.html,width:6%;,Draggin' The Line Lyrics,2006
http://www.metrolyrics.com/dragging-the-line-lyrics-rem.html,width:6%;,Dragging The Line Lyrics,2007
http://www.metrolyrics.com/drive-lyrics-rem.html,width:47.484428652143%;,Drive Lyrics,2006
http://www.metrolyrics.com/driver-8-lyrics-rem.html,width:27.452156242272%;,Driver 8 Lyrics,2011
http://www.metrolyrics.com/ebow-the-letter-lyrics-rem.html,width:35.481397225105%;,E-bow The Letter Lyrics,2003
http://www.metrolyrics.com/electrolite-lyrics-rem.html,width:27.452156242272%;,Electrolite Lyrics,2003
http://www.metrolyrics.com/electron-blue-lyrics-rem.html,width:6%;,Electron Blue Lyrics,2004
http://www.metrolyrics.com/eleventh-untitled-song-lyrics-rem.html,width:6%;,"Eleventh, Untitled Song Lyrics",2006
http://www.metrolyrics.com/end-of-the-world-as-we-know-it-lyrics-rem.html,width:6%;,End of the World As We Know It Lyrics,2007
http://www.metrolyrics.com/endgame-lyrics-rem.html,width:6%;,ENDGAME Lyrics,2014
http://www.metrolyrics.com/everbody-hurts-lyrics-rem.html,width:53.626285526054%;,Everbody Hurts Lyrics,2006
http://www.metrolyrics.com/every-day-is-yours-to-win-lyrics-rem.html,width:6%;,Every Day Is Yours to Win Lyrics,2011
http://www.metrolyrics.com/everybody-hurts-lyrics-rem.html,width:67.35236364719%;,Everybody Hurts Lyrics,2003
http://www.metrolyrics.com/exhuming-mccarthy-lyrics-rem.html,width:6%;,Exhuming Mccarthy Lyrics,2008
http://www.metrolyrics.com/fall-on-me-lyrics-rem.html,width:62.933553467377%;,Fall On Me Lyrics,2011
http://www.metrolyrics.com/falls-to-climb-lyrics-rem.html,width:6%;,Falls To Climb Lyrics,2006
http://www.metrolyrics.com/feeling-gravitys-pull-lyrics-rem.html,width:6%;,Feeling Gravity's Pull Lyrics,2006
http://www.metrolyrics.com/femme-fatale-lyrics-rem.html,width:6%;,Femme Fatale Lyrics,2006
http://www.metrolyrics.com/final-straw-lyrics-rem.html,width:6%;,Final Straw Lyrics,2008
http://www.metrolyrics.com/find-the-river-lyrics-rem.html,width:43.510638207939%;,Find The River Lyrics,2014
http://www.metrolyrics.com/finest-worksong-lyrics-rem.html,width:13.726078121136%;,Finest Worksong Lyrics,2008
